repo_name,month,languages,stars_count,forks_count,resolution_time_hours
BitCrackers/AmongUsMenu,2023-01,"C, C++",459,913,396.9612138888889
EmirBurgosPaz/interfaz_arduino,2023-01,C++,0,0,0
Filigrani/SkyCoop,2023-01,C#,154,24,1236.4912099811675
Q309166/-,2023-01,,1,0,0
apache/age,2023-01,"C, Makefile, PLpgSQL, Roff, Lex, Yacc, Shell, JavaScript, TypeScript, ANTLR",2829,399,2110.0305416666665
bucanero/apollo-saves,2023-01,C,94,29,1146.5297249999999
drphil3d/uptime,2023-01,,,,
sepal-contrib/planet_active_fires_explorer,2023-01,"Jupyter Notebook, Python, CSS",2,2,1132.7084229390682
the-paid-actor/dcs-dtc,2023-01,"C#, Lua",166,35,0
vaadin/hilla,2023-01,"TypeScript, JavaScript, Java, HTML, CSS, Kotlin, Shell",862,58,3805.8211416666663
KLayout/klayout,2023-02,"QMake, C++, C, CSS, Python, Ruby, Shell, AppleScript, Makefile, Batchfile",741,191,3028.006475
OpenBB-finance/OpenBBTerminal,2023-02,Python,26578,2600,552.9916583333334
SatanWoo/TrampolineHook,2023-02,"Objective-C, Assembly, Ruby",521,61,0.4552777777777778
Sybit-Education/airtable.java,2023-02,Java,48,25,9067.391916666666
TencentBlueKing/bk-repo,2023-02,"Shell, Kotlin, Java, JavaScript, Vue, HTML, SCSS, CSS, Lua, Dockerfile",58,35,1564.3376833333334
a-t-0/snncompare,2023-02,"Python, Shell",1,0,1152.5464055555556
cebreus/upptime,2023-02,"YAML, Markdown, JSON",1,0,1.597825
lambdaclass/lambdaworks,2023-02,"Dockerfile, Makefile, Nix, Rust, Metal, Cuda, C, Cairo",580,123,1828.2002194444444
tsantalis/RefactoringMiner,2023-02,"Java, Dockerfile",344,132,875.8430805555555
vmware/pyvmomi,2023-02,Python,2190,767,14466.602041666667
FpabloAyala/board-brush,2023-03,"HTML, JavaScript, CSS",0,0,0
Fragon-Studios/ishjarta,2023-03,"C#, HLSL, ShaderLab, HTML",1,1,970.8046475507765
FrozenXE/SchoolProject,2023-03,,,,
Nivaskumark/kernel_4.19.72,2023-03,"Makefile, Roff, C, Assembly, Shell, Perl, C++, Awk, Python, sed",0,0,17515.770830555557
Ragnarok-Roleplay/Reported-Issues,2023-03,,0,0,128.99921666666665
Rolling-Together/RollingTogether,2023-03,"Kotlin, Dart, HTML",1,2,386.77737103174604
TeamPiped/piped-uptime,2023-03,"JSON, YAML, Markdown, Python",22,2,149.33516388888887
christianhaitian/arkos,2023-03,"Shell, Python, Erlang",1375,81,253.60070555555558
hamboneZA/caffeine,2023-03,"YAML, Markdown, JSON",1,0,10.563983333333333
pronamic/wp-pay-core,2023-03,"JavaScript, PHP, SCSS, CSS",27,3,616.5312542955327
Elri87/gitTask,2023-04,JavaScript,0,0,811.8420370370371
amannn/next-intl,2023-04,"TypeScript, JavaScript",2033,188,1431.5515166666667
devcode-it/openstamanager,2023-04,"PHP, CSS, JavaScript, XSLT, Makefile, HTML, Shell, Perl",102,68,2365.598822222222
esensar/kotlinx-serialization-msgpack,2023-04,Kotlin,44,9,1890.1807118055556
initd1/HackAlert,2023-04,"Python, Dockerfile",16,4,44.127896825396824
marticliment/WingetUI,2023-04,"Python, Batchfile, Inno Setup, PowerShell, C#",10180,335,822.0733583333333
mo9a7i/time_now,2023-04,,1,0,0.0007277777777777778
