repo_name,languages,stars_count,forks_count,resolution_time_hours
freeCodeCamp/freeCodeCamp,"JavaScript, CSS, HTML, Shell, Less, EJS, Dockerfile, TypeScript",392612,36105,162.064075
EbookFoundation/free-programming-books,,326257,60530,426.15921111111106
sindresorhus/awesome,,309686,27008,3234.542911111111
jwasham/coding-interview-university,,297894,74980,4571.094630555555
public-apis/public-apis,"Shell, Python",297846,32286,1146.0814055555556
codecrafters-io/build-your-own-x,,281878,26460,12.352402777777778
kamranahmedse/developer-roadmap,"TypeScript, JavaScript, Astro, CSS, Shell",281303,37541,4334.5454361111115
996icu/996.ICU,,269430,21234,0
donnemartin/system-design-primer,"Python, Shell",262754,44580,2993.5465729585007
facebook/react,"JavaScript, Shell, CoffeeScript, TypeScript, Python, C++, C, Makefile, HTML, CSS",224956,45869,2654.376697222222
vinta/awesome-python,"Python, Makefile",211649,24623,0
vuejs/vue,"JavaScript, HTML, Shell, CSS, TypeScript",207339,33630,520.5594222222222
awesome-selfhosted/awesome-selfhosted,,186113,9199,6174.279113888889
trekhleb/javascript-algorithms,"JavaScript, Shell",185112,29861,619.4188111111112
tensorflow/tensorflow,"Python, C++, C, Java, Shell, Jupyter Notebook, CMake, Makefile, Objective-C, Objective-C++",183892,74034,2437.7621555555556
TheAlgorithms/Python,"Python, Dockerfile",181919,43976,2344.4134444444444
practical-tutorials/project-based-learning,,180402,23694,4237.816902985074
getify/You-Dont-Know-JS,,177886,33389,2736.5646138888887
torvalds/linux,"Makefile, C, Assembly, C++, Shell, Perl, Awk, Python, UnrealScript, Yacc",174161,52486,0
CyC2018/CS-Notes,,173516,50762,173.77768333333333
ohmyzsh/ohmyzsh,"Shell, Python, Makefile",170654,25704,8485.700761111111
twbs/bootstrap,"JavaScript, HTML, CSS, PowerShell, SCSS",168018,78539,138.919225
ossu/computer-science,,165550,20912,166.42121944444446
Significant-Gravitas/AutoGPT,"Python, Dockerfile, Batchfile, Shell, JavaScript, HTML, TypeScript, CSS, Jinja, Kotlin",163650,43452,535.4101444444444
flutter/flutter,"Dart, Shell, HTML, Objective-C, PowerShell, Batchfile, Java, Swift, Ruby, CSS",163127,26842,4514.966730555556
microsoft/vscode,"JavaScript, TypeScript, Batchfile, Shell, CSS, HTML, PowerShell, Python, Inno Setup, Roff",160323,28092,2897.6183805555556
github/gitignore,,159444,83218,0
jackfrued/Python-100-Days,"Python, HTML, JavaScript, CSS, Java, Jupyter Notebook",152459,51648,2540.830213888889
jlevy/the-art-of-command-line,,150776,14399,4339.950608333334
Snailclimb/JavaGuide,"Java, JavaScript",144661,45398,793.3948222222222
airbnb/javascript,JavaScript,142906,26292,3221.354363888889
trimstray/the-book-of-secret-knowledge,,136648,9177,0
AUTOMATIC1111/stable-diffusion-webui,"Python, CSS, JavaScript, Batchfile, Shell, HTML",135297,25833,197.20018611111112
ytdl-org/youtube-dl,"Makefile, Python, Shell, ActionScript, Batchfile",129750,9781,4068.693675
huggingface/transformers,"Python, Dockerfile, Shell, Makefile, Jsonnet, C, C++, Cuda, Cython",128610,25513,214.37590555555556
avelino/awesome-go,Go,124681,11703,2893.1456305555553
labuladong/fucking-algorithm,Markdown,124215,23130,259.303225
vercel/next.js,"JavaScript, CSS, TypeScript, Shell, SCSS, Sass, Rust, Batchfile, Dockerfile, MDX",122869,26272,1181.4727138888888
golang/go,"Shell, Go, C, HTML, JavaScript, Assembly, Makefile, Awk, Perl, Python",121121,17368,44469.595263888885
Chalarangelo/30-seconds-of-code,"JavaScript, TypeScript, Astro, Shell, SCSS, CSS",120285,11927,77.07449444444444
facebook/react-native,"Objective-C, JavaScript, Shell, HTML, Ruby, C, Objective-C++, Java, C++, Assembly",117073,24069,1172.8320388888887
yangshun/tech-interview-handbook,"HTML, JavaScript, Python, CSS, TypeScript",113808,14294,2796.726586021505
electron/electron,"C++, C, Objective-C++, Objective-C, Python, HTML, JavaScript, Shell, CSS, TypeScript",112727,15109,948.3345888888889
justjavac/free-programming-books-zh_CN,,109931,28119,0
kubernetes/kubernetes,"Python, Makefile, Shell, C, Go, HTML, sed, Dockerfile, PowerShell, Batchfile",108303,38857,5293.081066666667
d3/d3,"JavaScript, Shell",108076,22889,4272.627936111111
microsoft/PowerToys,"Batchfile, C++, C, C#, PowerShell, HLSL, HTML, JavaScript",106970,6308,10357.698075
f/awesome-chatgpt-prompts,"HTML, Shell",106832,14602,0
Genymobile/scrcpy,"Makefile, Meson, C, Java, Shell, Roff, Batchfile, VBScript, AIDL",105346,10230,4351.624772222222
nodejs/node,"JavaScript, Shell, C, Makefile, C++, Python, R, Batchfile, HTML, Emacs Lisp",105137,28478,834.9414166666667
axios/axios,"JavaScript, HTML, TypeScript, Handlebars",104587,10762,3528.867702777778
facebook/create-react-app,"JavaScript, CSS, HTML, Shell, AppleScript, TypeScript, Sass, SCSS",102211,26676,699.3633
mrdoob/three.js,"JavaScript, CSS, HTML, Roff, SCSS",100364,35197,494.09488055555556
microsoft/TypeScript,"JavaScript, TypeScript, Shell, Dockerfile",99052,12293,5160.856486111112
goldbergyoni/nodebestpractices,"Dockerfile, TypeScript",97197,9874,4459.669105555556
